Stationsnamn,Markering,FilID,Beräkningsklass,SW99_X,SW99_Y,SW99_Z
Sjulnäs,SJNA.0,0SJN,Definitiv,2486688.6046,966614.4465,5773959.5671
Sjulsmark,SJMK.0,0SJM,Definitiv,2465825.5174,970735.9645,5782170.6747
Sjösa,SJOS.0,0SJO,Definitiv,3167248.1768,974464.6601,5431512.9990
Skanör,SKAN.0,0SKN,Definitiv,3537800.8742,807531.7605,5227707.5795
Skelleftehamn,SKEH.0,0SKH,Definitiv,2548821.0020,990181.2356,5742985.2788
Skelleftehamn,SKEH.1,1SKH,Definitiv,2548757.8784,990194.3658,5743014.1232
Skellefteå,SKEL.0,0SKE,Preliminär,2534031.1960,975174.3961,5752078.3420
Skellefteå_C,SKEC.0,0SKC,Definitiv,2547947.3071,974059.4270,5746125.2750
Skellefteå-Mast,SKEL.8,8SKE,Definitiv,2534032.8768,975167.9308,5752078.7228
Skene,SKEN.0,0SNE,Definitiv,3352532.6901,752291.4340,5355685.3106
Skillinge,SKIL.0,0SKL,Definitiv,3511254.9417,893660.3407,5231575.1333
Skinnskatteberg,SKIN.1,1SKI,Definitiv,3093975.6805,869067.3246,5491034.6296
Skogsby,SKBY.0,0SBY,Definitiv,3371392.4734,999474.3718,5303478.6041
Skorped,SKOR.0,0SKO,Definitiv,2727334.1212,880044.4133,5679171.1400
Skurup,SKUR.1,1SKU,Definitiv,3522872.9948,845924.4929,5231764.2117
Skyttorp,SKYT.0,0SKY,Definitiv,3038182.7887,972196.1756,5504684.7525
Skärstad,SKRS.0,0SKR,Definitiv,3292564.5133,843191.6868,5379244.1751
Skövde,SKOV.2,2SKV,Definitiv,3254204.0327,801724.7448,5408654.4309
Slite,SLIT.0,0SLI,Definitiv,3233562.7519,1100683.2520,5368376.7623
Slussfors,SLUS.0,0SLU,Definitiv,2553258.9210,743985.8365,5778251.8351
Smygehamn,SMYG.0,0SMY,Definitiv,3536512.5591,840549.6178,5223403.8117
Smålandsstenar,SMAL.0,0SMA,Definitiv,3372554.0196,803772.0598,5335825.5020
Smögen,SMOG.0,0SMO,Definitiv,3290543.8225,652615.0271,5406535.3751
Sollentuna,SOLL.0,0SOL,Definitiv,3092315.3655,1001946.1761,5469307.7290
Sorsele,SORS.0,0SOR,Definitiv,2525762.6112,798304.0513,5783033.1978
Stavsjö,STJO.0,0STJ,Definitiv,3183682.3942,937654.6455,5428486.6645
Stavsjö,STJO.1,1STJ,Preliminär,3183690.4182,937646.0531,5428482.6901
Stavsnäs,STAV.0,0STA,Definitiv,3091410.9372,1045979.1891,5461608.0934
Stockaryd,STOC.0,0STO,Definitiv,3341196.7039,869986.1922,5345184.3191
Stora Sjöfallet,SSJO.1,1SSJ,Definitiv,2324750.0951,770697.5021,5869872.8445
Storfors,STFO.0,0STF,Definitiv,3142121.6382,799328.9882,5474392.0415
Storlien,STLI.0,0STL,Definitiv,2809573.0372,603439.6798,5675775.3986
Storskäret,SSKA.0,0SSK,Definitiv,3001845.9259,989650.3778,5521340.7836
Storuman,STOR.0,0STU,Definitiv,2574619.2612,792308.6758,5762427.3758
Storvik,STVI.2,2STV,Definitiv,3009465.3534,894331.6431,5533439.8067
Stripa,STIP.0,0STI,Definitiv,3114165.8022,840073.8828,5484210.3436
Strängnäs,STRA.0,0STN,Definitiv,3114499.6972,953476.9156,5465417.3743
Strömsnäs,SNAS.0,0SNA,Definitiv,2776353.8100,788761.8594,5668973.3566
Strömsnäs,SNAS.1,1SNA,Preliminär,2776353.7835,788761.8280,5668973.3465
Strömstad,STRO.0,0STR,Definitiv,3236556.0890,639759.3873,5440363.2437
Strömsund,STSU.0,0STS,Definitiv,2715197.9350,756115.5283,5702787.4122
Styrsö,STYR.0,0STY,Definitiv,3352158.2550,697886.1081,5363145.6858
Stöde,STDE.0,0STD,Definitiv,2839032.1011,844700.8798,5629820.0858
Sundsbruk,SBRU.0,0SBR,Definitiv,2822271.8151,882118.1894,5632455.9322
Sundsvall,SUND.0,0SUN,Definitiv,2838909.9337,903822.0418,5620660.1996
Sundsvall-Mast,SUND.6,6SUN,Definitiv,2838911.3007,903817.0195,5620660.9146
Surte,SURT.0,0SUR,Definitiv,3329459.1687,708745.9726,5375813.6439
Svalöv,SVAL.0,0SVL,Definitiv,3488885.7572,812591.5105,5259554.0522
Svappavaara,SVAP.0,0SVP,Definitiv,2270167.3714,873951.9888,5876675.1585
Svartnäs,SVAR.1,1SVA,Definitiv,2986330.2042,864372.5503,5550836.0483
Svarttjärn,SVTJ.0,0SVT,Definitiv,2568353.9094,989069.2901,5734611.0005
Svedala,SVED.0,0SVD,Definitiv,3523845.3828,828790.4388,5233834.3326
Sveg,SVEG.0,0SVE,Definitiv,2902495.1024,761455.7847,5609859.6902
Sveg-Mast,SVEG.6,6SVE,Preliminär,2902498.2765,761460.3996,5609857.2878
Svängsta,SVST.0,0SVS,Definitiv,3433399.6652,905187.7246,5280758.7295
Sysslebäck,SYSS.0,0SYS,Definitiv,3049635.7073,697659.5834,5539794.3100
Säffle,SAFF.0,0SAF,Definitiv,3196936.6500,734232.6560,5451814.0885
Sälen,SALE.0,0SAL,Definitiv,3002947.8599,707989.9570,5564002.3161
Särna,SARN.0,0SAR,Definitiv,2953011.7048,689808.7168,5592841.1990
Säter,SATE.1,1SAT,Definitiv,3045007.7433,858494.0988,5519852.5481
Sävar,SAAR.0,0SAA,Definitiv,2634432.5484,987913.5645,5704886.8372
Sävast,SAVA.0,0SAV,Definitiv,2438274.9176,972202.7011,5793504.3764
Sävja,SVJA.0,0SVJ,Definitiv,3063204.7124,977764.4268,5489919.3006
Sävträsk,SAVT.0,0SAK,Definitiv,2625353.7315,992528.9332,5708263.9014
Söderboda,SODE.0,0SOD,Definitiv,2993266.6667,996673.8553,5524711.8331
Söderbärke,SBAR.0,0SBA,Definitiv,3073387.9479,855625.4263,5504606.2397
Södertälje,SODT.0,0SDE,Definitiv,3121586.6459,990710.4399,5454874.1924
Söderåkra,SOAK.0,0SOA,Definitiv,3395209.3516,978164.0793,5292304.7008
Södra_Sunderbyn,SSBY.0,0SSB,Definitiv,2445282.2482,985125.1759,5788403.9128
Södra_Vi,SOVI.0,0SOV,Definitiv,3283683.1989,929180.2335,5370517.4118
Tavelsjö,TAVE.0,0TAV,Definitiv,2630282.9547,959744.4475,5711685.2802
Teg,TEG_.0,0TEG,Definitiv,2647360.6449,976362.5946,5700912.3423
Tenhult,TENH.2,2TEN,Preliminär,3309852.9233,845168.3496,5368478.4408
Tierp_C,TIEC.0,0TIE,Preliminär,3016880.9849,951701.2080,5519858.9210
Tived,TIVE.0,0TIV,Definitiv,3208011.8341,831848.4494,5431457.7109
Tjurholmen,TJUR.0,0TJU,Definitiv,3315933.0029,711610.5261,5383700.0928
Torekov,TORE.0,0TOK,Definitiv,3451163.5170,773006.6050,5290043.1916
Torpsbruk,TORP.0,0TOR,Definitiv,3367082.0936,875286.0176,5328114.1395
Torup,TOUP.0,0TOU,Definitiv,3395420.8722,788516.2434,5323603.1411
Tranemo,TRAN.1,1TRA,Definitiv,3343867.4662,793616.1768,5355258.0093
Tranås,TRAS.0,0TRN,Definitiv,3270239.7372,875771.7706,5387586.9194
Trekanten,TREK.0,0TRE,Definitiv,3372289.4538,974690.9490,5307486.1353
Trollhättan,TROL.1,1TRO,Definitiv,3284248.2036,715591.5457,5402481.9901
Träslövsläge,TRAL.0,0TRL,Definitiv,3396697.0865,741396.7635,5329433.1654
Trönninge,TRON.0,0TNN,Definitiv,3389828.3240,737643.9896,5334278.6547
Tuna,TUNA.0,0TUA,Definitiv,3293591.9337,951263.9774,5360627.8515
Tuna_Hästberg,TUHA.0,0TUH,Definitiv,3054106.8053,829439.0776,5519435.9587
Tungelsta,TUNG.0,0TUN,Definitiv,3121489.4233,1016875.8749,5450098.1440
Tvärskog,TVSK.0,0TVS,Definitiv,3380074.7069,971988.2320,5303069.7520
Tyngsjö,TYSJ.0,0TYJ,Definitiv,3076635.9614,759692.1898,5517033.1111
Tyresö,TYRE.2,2TYR,Preliminär,3108091.0488,1022281.2850,5456700.0739
Tystberga,TYST.0,0TYS,Definitiv,3159178.6269,979945.1317,5435233.1574
Töcksfors,TOCK.0,0TOC,Definitiv,3175552.8194,665346.5443,5473035.7128
Tösse,TOSS.1,1TOS,Definitiv,3215828.2551,720879.1700,5442527.9951
Ullatti,ULLA.0,0ULL,Definitiv,2319082.0100,928281.0840,5849224.9067
Ulricehamn,ULRI.1,1ULR,Definitiv,3314866.7670,791144.2890,5373582.8478
Umeå,UMEA.0,0UME,Definitiv,2682407.9183,950395.8796,5688993.1052
Umeå_C,UMEC.1,1UMC,Definitiv,2643135.2686,978138.6114,5702587.4809
Umeå-Mast,UMEA.6,6UME,Definitiv,2682409.9800,950391.3839,5688993.5852
Upplands Väsby,UPVY.0,0UPV,Definitiv,3085938.5343,997294.4725,5473727.0973
Uppsala,UPPS.0,0UPP,Definitiv,3060037.9782,970122.8315,5492999.2201
Vaggeryd,VAGG.0,0VGG,Definitiv,3331224.2651,839403.2105,5356186.1457
Vagnhärad,VAGN.0,0VAG,Definitiv,3145714.0180,991631.1110,5440858.9653
Varberg,VARB.0,0VAR,Definitiv,3393411.2109,737223.1168,5332099.0607
Vebomark,VEBO.0,0VEB,Definitiv,2579555.6369,990729.8204,5729287.3096
Veinge,VEIN.0,0VEI,Definitiv,3432487.6235,797073.4590,5298624.9780
Venjan,VENJ.0,0VEN,Definitiv,3013864.4146,746335.8901,5553060.2825
Vetlanda_C,VEDA.0,0VED,Definitiv,3323619.7985,895929.8047,5351784.5530
Viared,VIAR.0,0VIA,Definitiv,3331811.3023,758118.2227,5367823.2252
Vidsel,VIDS.0,0VID,Definitiv,2452424.7519,917450.9037,5796506.6236
Viken,VIKE.0,0VIK,Definitiv,3475183.3683,775383.8544,5274060.4629
Vilhelmina,VILH.0,0VIL,Preliminär,2620258.8874,779137.9807,5743799.2724
Vilhelmina-Mast,VILH.6,6VIL,Definitiv,2620263.7443,779138.3200,5743797.5423
Vinberget,VINB.0,0VIB,Definitiv,2829293.8113,888151.1245,5628086.5185
Vindeln,VIND.0,0VIN,Definitiv,2620256.6571,938912.2958,5719757.9709
Vinga,VING.0,0VNG,Definitiv,3352781.8621,688524.0097,5363974.8705
Visby,VISB.0,0VIS,Definitiv,3246470.5546,1077900.3165,5365277.8976
Visby-Mast,VISB.6,6VIS,Definitiv,3246466.5563,1077901.8295,5365279.6060
Vislanda,VISL.0,0VSL,Definitiv,3391334.9792,873316.5917,5313113.8661
Vittangi,VITT.0,0VIT,Definitiv,2257964.6667,895238.8961,5878055.9294
Vollsjö,VOLL.0,0VOL,Definitiv,3498678.3025,858203.5365,5245922.8018
Vrena,VREN.0,0VRE,Definitiv,3166911.2667,950166.4828,5436015.9172
Vuollerim,VRIM.0,0VRI,Definitiv,2393583.2511,900939.0330,5823483.7013
Vårgårda,VADA.0,0VAD,Definitiv,3300680.4946,750994.6074,5387807.5157
Våxtorp,VAXT.0,0VAX,Definitiv,3443784.7638,802360.9724,5290535.2786
Vänersborg,VANE.0,0VAN,Definitiv,3249408.2885,692757.9132,5426396.9351
Vänersborg-Mast,VANE.6,6VAN,Definitiv,3249402.7490,692761.9445,5426399.9056
Väne-Åsaka,ASAK.1,1ASA,Definitiv,3286466.7034,723964.1815,5400051.5213
Väse,VASE.0,0VSE,Definitiv,3161507.7382,779639.4204,5466034.2790
Västerfärnebo,VAFA.0,0VAF,Definitiv,3074184.3035,897579.4306,5497465.5603
Västerås,VAST.1,1VAS,Definitiv,3097439.9396,921676.4507,5480467.1471
Västra Måsklinten,VMAS.0,0VMA,Definitiv,2999707.1460,990495.9005,5522330.1649
Ystad,YSTA.0,0YST,Definitiv,3521816.5628,867410.9483,5228902.6045
Ytterån,YTTE.0,0YTT,Definitiv,2784488.3294,702947.8388,5676293.2645
Åby,ABY_.0,0ABY,Definitiv,3193914.5052,926686.9419,5424321.8261
Åbyn,ABYN.0,0ABN,Definitiv,2514610.1345,982066.7473,5759343.2272
Åkersberga,AKER.0,0AKE,Definitiv,3082774.9725,1019646.2499,5471402.5402
Ålund,ALND.0,0ALN,Definitiv,2510660.6841,964789.5997,5764026.0823
Åmmeberg,AMME.0,0AME,Definitiv,3192908.5764,855547.9555,5436601.8227
Åmsele,AMSE.0,0AMS,Definitiv,2594859.1795,911244.0385,5735715.5427
Ånge,ANGE.0,0ANG,Definitiv,2840960.2709,796398.0736,5635959.2739
Ånäset,ANSE.0,0ANS,Definitiv,2590802.4964,996745.4809,5723177.7627
Åsarna,ASAR.0,0ANA,Definitiv,2846989.6061,729481.8054,5642136.5698
Åseda,ASDA.0,0ASD,Definitiv,3342485.0479,917549.3195,5336493.4791
Åsele,ASEL.0,0ASE,Definitiv,2660696.6568,831586.3941,5717878.6223
Åstorp,ASTO.0,0AST,Definitiv,3471585.7226,798373.2296,5273041.3798
Åtvidaberg,ATVI.0,0ATV,Definitiv,3238762.5433,928853.1459,5397553.8359
Älvdalen,ALVD.1,1ALV,Definitiv,2986546.6363,747056.2758,5567562.6128
Älvsbyn2,ALVS.1,1ALB,Definitiv,2459588.5223,944489.1590,5789136.2304
Ätran,ATRA.0,0ATR,Definitiv,3382554.3241,777774.6574,5333332.6450
Ödeshög,ODES.0,0ODE,Definitiv,3257253.2274,851583.3502,5399222.0355
Örkelljunga,ORKE.0,0ORK,Definitiv,3453644.8672,814819.5368,5282308.9714
Örnsköldsvik,ORNS.0,0ORN,Definitiv,2722463.3480,922447.1760,5674646.3229
Örsjö,ORSJ.0,0ORS,Definitiv,3378112.9282,952900.1721,5307836.3041
Österbymo,OSMO.0,0OSM,Definitiv,3284379.6681,897064.7083,5375586.7721
Öster-Malma,OMLM.0,0OML,Definitiv,3151017.6496,972948.0446,5441180.4442
Östersund,OSTE.0,0OST,Preliminär,2763885.5132,733247.3302,5682653.3450
Östersund C,OSTC.0,0OSC,Definitiv,2792537.5953,731198.8849,5668875.7205
Östersund-mast,OSTE.6,6OST,Definitiv,2763889.5559,733243.4893,5682651.6854
Östervåla,OVAL.2,2OSV,Definitiv,3037696.2787,938852.7681,5510713.9865
Östmark,OSTM.0,0OTM,Definitiv,3091485.6233,699968.8841,5516360.6895
Överkalix,OVER.0,0OVE,Definitiv,2368885.0299,994492.1729,5818478.1838
Överkalix-Mast,OVER.6,6OVE,Preliminär,2368886.8651,994496.3284,5818476.6925
Övertorneå,OVET.0,0OVT,Definitiv,2346841.5184,1028174.4006,5821401.6839
Övre Soppero,SOPP.0,0SOP,Definitiv,2217918.4825,882251.3621,5895260.9199
Övre_Bäck,OVBA.0,0OVB,Definitiv,2564754.8427,997667.0373,5734664.1680
