Stationsnamn,Markering,FilID,Beräkningsklass,SW99_X,SW99_Y,SW99_Z
Hennan,HENN.0,0HEN,Definitiv,2884800.4980,822298.3182,5610126.3613
Herrestad,HSTA.0,0HST,Definitiv,3283569.9719,688377.2757,5406357.4842
Herrljunga,HERR.2,2HER,Definitiv,3294049.3290,761583.4913,5390353.0746
Hillerstorp,HILL.0,0HIL,Definitiv,3351528.7476,828634.1789,5345223.1881
Hjo,HJO_.0,0HJO,Definitiv,3255728.4467,829058.4061,5403566.9229
Hjältevad,HJVA.0,0HJV,Definitiv,3301096.1923,905762.9680,5363931.3553
Hoburgen,HOBU.0,0HOB,Definitiv,3315707.1992,1087011.0402,5321220.7817
Hol,HOL_.0,0HOA,Definitiv,3308338.3088,745170.9867,5383997.7854
Holmsjö,HOSJ.0,0HOJ,Definitiv,3402730.6109,953591.3193,5292049.3116
Holmsund,HOLM.0,0HOS,Definitiv,2658636.4745,988138.2420,5693663.2817
Holmön,HOON.0,0HLM,Definitiv,2637812.7992,1005418.8562,5700273.2442
Horndal,HORN.0,0HOR,Definitiv,3040132.1783,894948.8628,5516726.4103
Hotagen,HOTA.0,0HOT,Definitiv,2721007.6232,686844.2403,5708763.2500
Huddinge,HUDD.0,0HDG,Definitiv,3112971.7647,1007507.1382,5456708.4216
Hudiksvall,HUDI.0,0HUD,Definitiv,2894697.1178,892723.3038,5594122.9125
Husum,HUSU.2,2HUS,Definitiv,2711463.3309,942362.6258,5676627.3668
Hybo,HYBO.0,0HYB,Definitiv,2902251.7582,843669.3802,5597931.1726
Hållnäs,HNAS.0,0HNA,Definitiv,2993458.0448,965709.0470,5530070.5050
Hällefors,HALE.0,0HFS,Definitiv,3115217.9242,806835.6561,5488627.9276
Hällestad,HLLS.0,0HLL,Definitiv,3195989.9483,890647.5814,5429141.5531
Hällevik,HALV.1,1HLV,Definitiv,3456798.9927,906263.9978,5265352.7429
Hällsvik,HVIK.0,0HVI,Definitiv,3344670.5474,694924.3548,5368172.3567
Häradsbäck,HARA.2,2HAR,Definitiv,3414124.1554,880444.6285,5297436.3484
Hässleholm,HASS.0,0HAS,Preliminär,3464655.8397,845749.9433,5270271.4943
Hässleholm-Mast,HASS.6,6HAS,Definitiv,3464660.8302,845747.1544,5270269.1517
Höljes,HOLJ.1,1HOL,Definitiv,3035205.3875,678371.1512,5550123.7620
Hölö,HOLO.0,0HLO,Definitiv,3137882.2418,992008.1748,5445309.2127
Hörnefors,HRNE.0,0HRN,Definitiv,2671664.3430,967646.2090,5691111.8636
Höör,HOOR.0,0HOO,Definitiv,3481559.5045,838595.2913,5260343.1481
Idre,IDRE.1,1IDR,Definitiv,2942467.6765,663829.4973,5601489.7692
Jokkmokk,JOKK.0,0JOK,Definitiv,2389200.0056,861689.8055,5831334.6724
Jonstorp,JONS.0,0JTP,Definitiv,3467026.7690,779816.7636,5278744.6208
Junosuando,JUNO.0,0JUO,Definitiv,2268172.7690,939546.0232,5867241.0041
Junsele,JUNS.0,0JUN,Definitiv,2712015.4989,823350.5758,5694938.7850
Jäkkvik,JAKK.0,0JAK,Definitiv,2450646.7987,747643.5423,5821822.3785
